"Name", "MFR", "Country", "Type", "Calories","CalFat","TotFat","SatFat","Chol","Na","Carbs","Fiber","Sugars","Protein"
, , , , 550, 292.5, 32.5, 20, 12.5, 0, 60, 7.5, 50, 5
, , , , 570, 342, 38.2, 23.8, 0, 100, 49.2, 0, 48.4, 7.2
, , , , 538, 274, 30.4, 18.8, 0, 5, 60.1, 0, 50.4, 5.1
, , , , 547, 286, 31, 19, 23.8, 71.4, 59.5, 0, 57.1, 7.1
, , , , 619, 453, 50, 31.0, 0, 0, 38.1, 14.3, 14.3, 9.5
, , , , 575, 385, 40, 22.5, 25, 75, 47.5, 2.5, 42.5, 7.5
, , , , 550, 325, 37.5, 22.5, 0, 0, 55, 5, 45, 5
, , , , 500, 278, 33, 22, 0, 0, 55.6, 0, 55.6, 0
, , , , 568, 378, 43.2, 27.0, 0, 0, 43.2, 10.8, 27.0, 8.1
, , , , 500, 278, 40.5, 21.6, 8.1, 94.6, 45.9, 2.7, 40.5, 8.1
, , , , 595, 432, 48.6, 29.7, 0, 0, 37.8, 13.5, 18.9, 8.1
, , , , 551, 279, 31, 28, 0, 0, 62, 0, 52, 0
, , , , 541, 261, 29, 17, 0, 0, 62, 0, 45, 0
, , , , 607,237,44.6,27.7,26.8,98,41,1.8,39.3,8.9
, , , , 600,373,40,26.7,25,100,40,2.5,40,10
